"_time",host,source,sourcetype,EventCode,CommandLine,Image,ParentCommandLine
"2024-07-28T06:23:52.000+00:00","EC2AMAZ-HVTQL23","WinEventLog:Microsoft-Windows-Sysmon/Operational","WinEventLog:SysMon",1,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /ping PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48cmVxdWVzdCBwcm90b2NvbD0iMy4wIiB1cGRhdGVyPSJPbWFoYSIgdXBkYXRlcnZlcnNpb249IjEuMy4xOTUuMTUiIHNoZWxsX3ZlcnNpb249IjEuMy4xMzUuNDEiIGlzbWFjaGluZT0iMSIgc2Vzc2lvbmlkPSJ7NEFDNUNFREMtMjMxNi00MjgzLThFQzItN0Y2MzRFMEQ2NTRCfSIgdXNlcmlkPSJ7MTI0M0U0Q0QtN0VEMi00NzJCLTgwNEYtQjlENjJDOTUxNkVCfSIgaW5zdGFsbHNvdXJjZT0ic2NoZWR1bGVyIiByZXF1ZXN0aWQ9IntFMDc3MTBBQy03RkI2LTQ1NzItODg4MS0yRUYzNjg5NzYwRDJ9IiBkZWR1cD0iY3IiIGRvbWFpbmpvaW5lZD0iMCI-PGh3IGxvZ2ljYWxfY3B1cz0iMiIgcGh5c21lbW9yeT0iOCIgZGlza190eXBlPSIxIiBzc2U9IjEiIHNzZTI9IjEiIHNzZTM9IjEiIHNzc2UzPSIxIiBzc2U0MT0iMSIgc3NlNDI9IjEiIGF2eD0iMSIvPjxvcyBwbGF0Zm9ybT0id2luIiB2ZXJzaW9uPSIxMC4wLjIwMzQ4LjI1ODIiIHNwPSIiIGFyY2g9Ing2NCIgcHJvZHVjdF90eXBlPSI4IiBpc193aXA9IjAiIGlzX2luX2xvY2tkb3duX21vZGU9IjAiLz48b2VtIHByb2R1Y3RfbWFudWZhY3R1cmVyPSJYZW4iIHByb2R1Y3RfbmFtZT0iSFZNIGRvbVUiLz48ZXhwIGV0YWc9IiZxdW90O3R4Z1VCSG9vNkFRU0EvZnlFNDhzeUVYcXgySisvcXNxbEdXeGk0dWZIWWs9JnF1b3Q7Ii8-PGFwcCBhcHBpZD0ie0YzQzRGRTAwLUVGRDUtNDAzQi05NTY5LTM5OEEyMEYxQkE0QX0iIHZlcnNpb249IjEuMy4xOTUuMTUiIG5leHR2ZXJzaW9uPSIiIGxhbmc9IiIgYnJhbmQ9IklOQlgiIGNsaWVudD0iIiBleHBlcmltZW50cz0iSXNPbkludGVydmFsQ29tbWFuZHNBbGxvd2VkPS10YXJnZXRfZGV2IiBpbnN0YWxsYWdlPSI5NTYiIGNvaG9ydD0icnJmQDAuMTQiPjx1cGRhdGVjaGVjay8-PHBpbmcgcmQ9IjY0MTgiIHBpbmdfZnJlc2huZXNzPSJ7Nzk1Njg1OEYtOTgyOS00QjQ2LUJEOUMtNURGRTc3MTdBMkY3fSIvPjwvYXBwPjxhcHAgYXBwaWQ9Ins1NkVCMThGOC1CMDA4LTRDQkQtQjZEMi04Qzk3RkU3RTkwNjJ9IiB2ZXJzaW9uPSIxMjcuMC4yNjUxLjc0IiBuZXh0dmVyc2lvbj0iIiBhcD0ic3RhYmxlLWFyY2hfeDY0IiBsYW5nPSIiIGJyYW5kPSJJTkJYIiBjbGllbnQ9IiIgZXhwZXJpbWVudHM9ImNvbnNlbnQ9ZmFsc2UiIGluc3RhbGxhZ2U9IjEwNzMiIGNvaG9ydD0icnJmQDAuMjAiIHVwZGF0ZV9jb3VudD0iMzQiIGxhc3RfbGF1bmNoX2NvdW50PSIxIiBsYXN0X2xhdW5jaF90aW1lPSIxMzM2NTc4ODYzMTQ4NDg4NjAiIGZpcnN0X2ZyZV9zZWVuX3RpbWU9IjEzMzY1Nzg1NTAwODk0MTQ5MCIgZmlyc3RfZnJlX3NlZW5fdmVyc2lvbj0iMTI2LjAuMjU5Mi44NyI-PHVwZGF0ZWNoZWNrLz48cGluZyBhY3RpdmU9IjAiIHJkPSI2NDE4IiBwaW5nX2ZyZXNobmVzcz0iezkyNTYxRjM2LTg2QzUtNDZDQS05QkVFLTgwNzAxNTJENEU0NX0iLz48L2FwcD48L3JlcXVlc3Q-","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /svc"
"2024-07-28T06:23:52.000+00:00","EC2AMAZ-HVTQL23","WinEventLog:Microsoft-Windows-Sysmon/Operational","WinEventLog:SysMon",1,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /svc","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","C:\Windows\system32\services.exe"
"2024-07-28T06:23:52.000+00:00","EC2AMAZ-HVTQL23","WinEventLog:Microsoft-Windows-Sysmon/Operational","WinEventLog:SysMon",1,"C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding","C:\Windows\System32\wbem\WmiPrvSE.exe","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"2024-07-28T06:23:48.000+00:00","EC2AMAZ-HVTQL23","WinEventLog:Microsoft-Windows-Sysmon/Operational","WinEventLog:SysMon",1,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /ua /installsource scheduler","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule"
"2024-07-28T06:23:46.000+00:00","EC2AMAZ-HVTQL23","WinEventLog:Microsoft-Windows-Sysmon/Operational","WinEventLog:SysMon",5,,"C:\Windows\System32\svchost.exe",
"2024-07-28T06:20:16.000+00:00","EC2AMAZ-HVTQL23","WinEventLog:Microsoft-Windows-Sysmon/Operational","WinEventLog:SysMon",5,,"C:\Windows\System32\wbem\WmiPrvSE.exe",
"2024-07-28T06:19:46.000+00:00","EC2AMAZ-HVTQL23","WinEventLog:Microsoft-Windows-Sysmon/Operational","WinEventLog:SysMon",5,,"C:\Windows\System32\svchost.exe",
"2024-07-28T06:18:49.000+00:00","EC2AMAZ-HVTQL23","WinEventLog:Microsoft-Windows-Sysmon/Operational","WinEventLog:SysMon",5,,"C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{B4435689-4692-4206-9CD2-77C3ED56F7B4}\MicrosoftEdgeUpdateSetup_X86_1.3.195.15.exe",
"2024-07-28T06:18:49.000+00:00","EC2AMAZ-HVTQL23","WinEventLog:Microsoft-Windows-Sysmon/Operational","WinEventLog:SysMon",5,,"C:\Program Files (x86)\Microsoft\Temp\EUB68C.tmp\MicrosoftEdgeUpdate.exe",
"2024-07-28T06:18:49.000+00:00","EC2AMAZ-HVTQL23","WinEventLog:Microsoft-Windows-Sysmon/Operational","WinEventLog:SysMon",5,,"C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe",
